,System Physical Address,,Local Chiplet Interpretation,,,,,Quasar NOC & SMN,,Is this used in Package?,,PCIE TLB setting for EP (Q1.S7),,Comment
,Start Address,Size,Endpoint ID,Chiplet,Tile ID,Space,Chiplet Local Address,NOC Mask ID,SMN Mask ID,Q1.S7,Q1.A1,PCIE TLB,Entry ID,Description
,0x0_001A_9000_0000,256MB,297,Quasar[0],41,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_A000_0000,256MB,298,Quasar[0],42,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_B000_0000,256MB,299,Quasar[0],43,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_C000_0000,256MB,300,Quasar[0],44,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_D000_0000,256MB,301,Quasar[0],45,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_E000_0000,256MB,302,Quasar[0],46,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_F000_0000,256MB,303,Quasar[0],47,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_0000_0000,256MB,304,Quasar[0],48,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_1000_0000,256MB,305,Quasar[0],49,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_2000_0000,256MB,306,Quasar[0],50,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_3000_0000,256MB,307,Quasar[0],51,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_4000_0000,256MB,308,Quasar[0],52,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_5000_0000,256MB,309,Quasar[0],53,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_6000_0000,256MB,310,Quasar[0],54,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_7000_0000,256MB,311,Quasar[0],55,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_8000_0000,256MB,312,Quasar[0],56,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_9000_0000,256MB,313,Quasar[0],57,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_A000_0000,256MB,314,Quasar[0],58,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001B_B000_0000,256MB,315,Quasar[0],59,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001C_0000_0000,256MB,320,Quasar[1],0,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_1000_0000,256MB,321,Quasar[1],1,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_2000_0000,256MB,322,Quasar[1],2,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_3000_0000,256MB,323,Quasar[1],3,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_4000_0000,256MB,324,Quasar[1],4,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_5000_0000,256MB,325,Quasar[1],5,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_6000_0000,256MB,326,Quasar[1],6,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_7000_0000,256MB,327,Quasar[1],7,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_8000_0000,256MB,328,Quasar[1],8,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_9000_0000,256MB,329,Quasar[1],9,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_A000_0000,256MB,330,Quasar[1],10,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_B000_0000,256MB,331,Quasar[1],11,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_C000_0000,256MB,332,Quasar[1],12,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_D000_0000,256MB,333,Quasar[1],13,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_E000_0000,256MB,334,Quasar[1],14,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001C_F000_0000,256MB,335,Quasar[1],15,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_0000_0000,256MB,336,Quasar[1],16,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_1000_0000,256MB,337,Quasar[1],17,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_2000_0000,256MB,338,Quasar[1],18,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_3000_0000,256MB,339,Quasar[1],19,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_4000_0000,256MB,340,Quasar[1],20,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_5000_0000,256MB,341,Quasar[1],21,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_6000_0000,256MB,342,Quasar[1],22,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_7000_0000,256MB,343,Quasar[1],23,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_8000_0000,256MB,344,Quasar[1],24,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_9000_0000,256MB,345,Quasar[1],25,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_A000_0000,256MB,346,Quasar[1],26,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_B000_0000,256MB,347,Quasar[1],27,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_C000_0000,256MB,348,Quasar[1],28,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_D000_0000,256MB,349,Quasar[1],29,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_E000_0000,256MB,350,Quasar[1],30,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001D_F000_0000,256MB,351,Quasar[1],31,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001E_0000_0000,256MB,352,Quasar[1],32,Config,0x0_0000_0000_0000,15,15,,,,,
,0x0_001E_1000_0000,256MB,353,Quasar[1],33,Config,0x0_0000_0000_0000,15,15,,,,,
